time(sec),engine_speed(rpm),actual_torque(%),fuel_rate(LPH),tilt_pitch(deg),tilt_roll(deg),tilt_yaw(deg),arm_tilit(deg),arm_roll(deg),boom_tilit(deg),boom_roll(deg),pressure(bar),flow_rate(LPM)
33.310,798.500,12.000,42.050,43.973,-0.428,10.713,-38.115,0.803,56.268,0.179,-0.083,0.057
33.360,799.500,11.000,43.050,43.976,-0.440,10.711,-38.088,0.799,56.275,0.218,0.055,0.087
33.411,797.500,12.000,43.050,43.976,-0.440,10.711,-38.094,0.807,56.210,0.209,-0.083,0.047
33.461,799.000,12.000,43.050,43.968,-0.433,10.703,-38.061,0.811,56.246,0.243,-0.083,0.047
33.510,799.500,12.000,43.050,43.968,-0.433,10.703,-38.115,0.840,56.232,0.248,-0.083,0.067
33.560,799.500,12.000,43.050,43.974,-0.429,10.707,-38.099,0.816,56.268,0.248,-0.023,0.097
33.610,799.500,12.000,43.050,43.974,-0.429,10.707,-38.035,0.869,56.268,0.261,-0.063,0.067
33.660,801.000,11.000,42.050,43.974,-0.429,10.709,-38.078,0.848,56.378,0.213,-0.063,0.067
33.711,800.500,11.000,42.050,43.991,-0.426,10.705,-38.035,0.848,56.319,0.231,-0.102,0.077
33.760,801.000,11.000,42.050,43.989,-0.441,10.713,-38.061,0.824,56.327,0.222,-0.083,0.028
33.810,801.500,11.000,42.050,43.989,-0.441,10.713,-38.067,0.807,56.349,0.226,0.075,0.077
33.861,800.500,11.000,41.050,43.976,-0.443,10.709,-38.061,0.820,56.341,0.231,-0.043,0.067
33.910,800.500,11.000,41.050,43.976,-0.443,10.709,-38.115,0.828,56.319,0.222,-0.102,0.284
33.960,802.500,10.000,41.050,43.972,-0.439,10.709,-38.142,0.811,56.334,0.213,-0.063,0.106
34.010,800.000,11.000,41.050,43.972,-0.439,10.709,-38.115,0.840,56.122,0.218,-0.063,0.156
34.061,800.000,11.000,42.050,43.979,-0.430,10.709,-38.158,0.832,56.290,0.222,-0.043,0.106
34.111,801.500,10.000,42.050,43.979,-0.430,10.709,-38.120,0.807,56.268,0.192,-0.083,0.057
34.161,799.000,11.000,40.050,43.990,-0.425,10.710,-38.126,0.787,56.363,0.192,-0.063,0.097
34.211,799.000,11.000,40.050,43.990,-0.425,10.710,-38.136,0.795,56.319,0.209,-0.063,0.126
34.261,801.000,10.000,41.050,43.993,-0.427,10.701,-38.147,0.807,56.319,0.213,-0.102,0.116
34.311,799.000,11.000,41.050,43.993,-0.427,10.701,-38.115,0.799,56.254,0.226,-0.043,0.116
34.360,799.500,11.000,42.050,43.990,-0.429,10.707,-38.163,0.795,56.268,0.209,-0.063,0.284
34.410,800.500,10.000,42.050,43.990,-0.429,10.707,-38.104,0.811,56.283,0.256,-0.102,0.067
34.460,799.000,11.000,41.050,43.982,-0.429,10.707,-38.158,0.795,56.261,0.243,-0.083,0.038
34.510,799.000,11.000,41.050,43.982,-0.429,10.707,-38.072,0.791,56.261,0.222,-0.063,0.087
34.560,800.500,11.000,41.050,44.000,-0.438,10.697,-38.083,0.816,56.312,0.209,-0.063,0.146
34.610,799.000,11.000,41.050,44.000,-0.438,10.697,-38.078,0.816,56.239,0.201,-0.083,0.047
34.660,800.500,11.000,41.050,43.998,-0.439,10.706,-38.120,0.828,56.334,0.179,-0.083,0.136
34.710,801.000,10.000,41.050,43.998,-0.439,10.706,-38.131,0.820,56.327,0.239,-0.063,0.087
34.761,799.000,11.000,41.050,43.985,-0.437,10.711,-38.136,0.840,56.319,0.213,-0.083,0.057
34.810,799.000,11.000,41.050,43.985,-0.437,10.711,-38.131,0.803,56.356,0.231,-0.083,0.047
34.860,800.000,11.000,42.050,43.977,-0.425,10.709,-38.126,0.816,56.341,0.222,-0.083,0.067
34.910,797.500,12.000,42.050,43.977,-0.425,10.709,-38.072,0.803,56.334,0.222,-0.083,0.087
34.960,799.000,11.000,43.050,43.985,-0.410,10.708,-38.078,0.787,56.334,0.222,-0.083,0.057
35.010,800.000,11.000,43.050,43.985,-0.410,10.708,-38.045,0.803,56.319,0.196,-0.063,0.028
35.060,798.500,12.000,42.050,44.001,-0.416,10.706,-38.035,0.828,56.305,0.196,-0.083,0.333
35.111,799.000,11.000,42.050,44.001,-0.416,10.706,-38.013,0.816,56.349,0.201,-0.102,0.274
35.161,800.000,11.000,42.050,44.005,-0.427,10.700,-38.056,0.791,56.217,0.218,-0.083,0.087
35.210,799.500,11.000,42.050,44.005,-0.427,10.700,-38.083,0.791,56.239,0.235,-0.083,0.106
35.260,799.000,12.000,42.050,43.999,-0.432,10.720,-38.099,0.803,56.312,0.222,-0.083,0.097
35.310,799.000,12.000,42.050,43.999,-0.432,10.720,-38.072,0.848,56.334,0.231,-0.102,0.047
35.361,800.500,11.000,42.050,44.002,-0.431,10.703,-38.104,0.820,56.312,0.213,-0.142,0.146
35.410,799.500,11.000,42.050,44.002,-0.431,10.703,-38.078,0.832,56.319,0.226,-0.063,0.087
35.460,801.000,11.000,43.050,44.020,-0.436,10.701,-38.078,0.803,56.319,0.235,-0.083,0.077
35.511,799.500,11.000,43.050,44.020,-0.436,10.679,-38.120,0.787,56.334,0.209,-0.122,0.067
35.561,799.500,11.000,42.050,44.018,-0.437,10.704,-38.078,0.795,56.319,0.213,-0.083,0.038
35.610,799.500,11.000,42.050,44.018,-0.437,10.704,-38.099,0.836,56.341,0.196,-0.023,0.106
35.661,801.000,11.000,41.050,44.004,-0.436,10.707,-38.083,0.816,56.334,0.222,-0.102,0.057
35.710,800.000,11.000,41.050,44.004,-0.436,10.707,-38.104,0.803,56.334,0.226,-0.063,0.057
35.760,801.500,11.000,42.050,43.988,-0.435,10.708,-38.099,0.803,56.327,0.226,-0.083,0.057
35.810,801.500,11.000,42.050,43.988,-0.435,10.708,-38.120,0.832,56.319,0.213,-0.161,0.057
35.860,799.500,11.000,42.050,43.988,-0.435,10.708,-38.088,0.787,56.341,0.226,-0.063,0.106
35.910,799.500,11.000,42.050,43.991,-0.440,10.709,-38.158,0.787,56.334,0.213,-0.004,0.126
