time(sec),engine_speed(rpm),actual_torque(%),fuel_rate(LPH),tilt_pitch(deg),tilt_roll(deg),tilt_yaw(deg),arm_tilit(deg),arm_roll(deg),boom_tilit(deg),boom_roll(deg),pressure(bar),flow_rate(LPM)
78.483,796.500,13.000,43.050,77.891,-0.648,18.484,-86.391,1.435,48.360,0.758,-0.063,0.264
78.534,796.500,13.000,43.050,77.898,-0.656,18.485,-86.547,1.410,48.395,0.803,-0.043,0.284
78.583,801.000,12.000,44.050,77.898,-0.656,18.485,-86.600,1.439,48.360,0.816,-0.063,0.215
78.634,801.000,12.000,44.050,77.886,-0.654,18.472,-86.756,1.435,48.366,0.807,-0.043,0.244
78.683,800.000,12.000,44.050,77.886,-0.654,18.483,-87.226,1.439,48.390,0.807,-0.043,0.264
78.733,802.000,11.000,44.050,77.886,-0.654,18.483,-87.070,1.414,48.372,0.816,-0.023,0.441
78.784,802.000,11.000,44.050,77.886,-0.654,18.478,-87.174,1.447,48.378,0.811,-0.023,0.235
78.834,800.000,12.000,45.050,77.882,-0.649,18.478,-87.226,1.480,48.354,0.816,-0.004,0.235
78.884,800.500,12.000,45.050,77.882,-0.649,18.478,-87.539,1.398,48.330,0.779,-0.043,0.264
78.933,797.000,13.000,44.050,77.882,-0.649,18.484,-87.017,1.386,48.336,0.779,-0.043,0.244
78.983,797.000,13.000,44.050,77.882,-0.649,18.495,-86.861,1.435,48.330,0.828,-0.063,0.254
79.034,802.000,11.000,43.050,77.879,-0.654,18.479,-87.278,1.443,48.342,0.820,-0.023,0.254
79.083,802.000,11.000,43.050,77.890,-0.644,18.480,-87.331,1.455,48.330,0.803,-0.083,0.244
79.133,800.500,12.000,44.050,77.890,-0.644,18.486,-86.808,1.480,48.324,0.725,-0.063,0.451
79.183,800.500,12.000,44.050,77.886,-0.643,18.479,-86.495,1.435,48.336,0.779,-0.122,0.225
79.233,797.500,13.000,44.050,77.879,-0.646,18.483,-86.600,1.431,48.336,0.779,-0.023,0.244
79.283,797.500,13.000,44.050,77.879,-0.646,18.483,-86.443,1.431,48.318,0.779,-0.023,0.244
79.333,800.500,12.000,44.050,77.879,-0.646,18.507,-86.547,1.423,48.324,0.758,-0.004,0.244
