time(sec),engine_speed(rpm),actual_torque(%),fuel_rate(LPH),tilt_pitch(deg),tilt_roll(deg),tilt_yaw(deg),arm_tilit(deg),arm_roll(deg),boom_tilit(deg),boom_roll(deg),pressure(bar),flow_rate(LPM)
48.320,1131.500,40.000,165.050,84.049,-2.432,18.188,-85.451,1.673,59.204,0.840,-0.004,0.087
48.371,1129.000,42.000,154.050,84.049,-2.432,18.193,-88.531,1.726,59.066,0.959,-0.063,0.057
48.420,1132.500,42.000,154.050,84.049,-2.432,18.193,-88.636,1.767,59.155,0.939,-0.063,0.195
48.471,1131.000,42.000,151.050,84.225,-2.447,18.192,-88.323,1.825,59.424,0.898,-0.043,0.254
48.520,1131.000,42.000,151.050,84.225,-2.447,18.192,-88.479,1.767,59.530,0.770,-0.102,0.057
48.570,1136.000,40.000,151.050,82.309,-2.423,18.193,-88.062,1.677,59.334,0.697,-0.181,0.303
48.620,1131.500,42.000,145.050,79.137,-2.494,18.192,-88.688,1.603,58.683,0.688,-0.063,0.166
48.671,1125.500,43.000,151.050,79.137,-2.494,18.192,-88.792,1.624,57.966,0.824,-0.102,0.274
48.720,1125.500,43.000,151.050,79.137,-2.494,18.192,-88.375,1.952,57.917,1.107,-0.023,0.254
48.770,1112.000,52.000,177.050,76.383,-2.441,18.190,-85.712,2.194,58.471,1.390,-0.063,0.294
48.820,1119.000,51.000,177.050,76.383,-2.441,18.192,-73.913,2.280,59.440,1.455,-0.043,0.303
48.870,1127.000,48.000,174.050,74.082,-2.307,18.191,-66.854,2.267,60.263,1.386,-0.063,0.372
48.920,1130.500,48.000,174.050,74.082,-2.307,18.190,-61.718,2.079,60.646,1.176,-0.083,0.294
48.970,1134.000,47.000,170.050,73.358,-2.110,18.190,-59.646,1.677,61.200,0.885,-0.043,0.244
49.020,1141.500,44.000,170.050,73.358,-2.110,18.191,-59.582,1.300,61.827,0.573,-0.083,0.274
49.070,1141.500,44.000,170.050,74.568,-2.106,18.193,-61.345,1.021,62.340,0.308,-0.063,0.284
49.120,1150.000,36.000,149.050,74.568,-2.106,18.193,-64.913,0.820,62.414,0.188,-0.063,0.294
49.170,1150.000,36.000,149.050,76.601,-2.297,18.194,-70.842,0.885,61.966,0.188,-0.063,0.274
49.221,1146.000,35.000,141.050,78.844,-2.587,18.192,-75.356,0.963,61.281,0.299,-0.043,0.294
49.271,1146.000,35.000,141.050,78.844,-2.587,18.192,-80.459,1.238,60.271,0.668,-0.083,0.264
49.320,1145.500,34.000,136.050,78.844,-2.587,18.191,-81.692,1.632,59.163,1.070,-0.043,0.313
49.371,1140.000,35.000,133.050,80.713,-2.808,18.191,-79.099,1.935,58.479,1.423,-0.083,0.284
49.420,1140.000,35.000,133.050,80.713,-2.808,18.191,-74.807,2.366,58.259,1.907,-0.063,0.254
49.470,1119.000,44.000,151.050,80.897,-2.587,18.190,-71.814,2.862,58.455,2.214,-0.043,0.264
49.520,1119.000,44.000,151.050,80.897,-2.587,18.194,-67.224,3.080,59.049,2.198,-0.063,0.294
49.571,1114.000,49.000,151.050,78.646,-2.089,18.190,-62.781,2.743,60.068,1.960,-0.083,0.284
49.620,1114.500,52.000,174.050,78.646,-2.089,18.190,-59.950,2.087,60.817,1.382,-0.043,0.254
49.670,1117.500,55.000,186.050,75.620,-1.600,18.192,-58.400,1.230,61.387,0.684,-0.043,0.156
49.720,1117.500,55.000,186.050,75.620,-1.600,18.192,-58.080,0.376,61.672,0.033,-0.063,0.303
